molecula,dG_P-gp_MDR1,dG_CYP3A4,dG_TfR1,dG_FRalpha,dG_Lisozima,dG_HSA
2-(2-Aminoethoxy)ethanol,-3.559,-3.761,-3.862,-4.085,-3.356,-3.121
2-Aminoethanol,-2.818,-3.052,-3.628,-3.922,-2.621,-2.35
22-Iminodiethanol,-3.684,-3.886,-3.956,-4.471,-2.803,-2.971
4-Aminobenzoic_acid,-5.504,-6.038,-5.667,-6.44,-3.676,-5.115
5-Fluorouracil,-4.629,-5.127,-5.353,-5.667,-3.275,-4.48
6-Hydroxyhexanoic_acid,-4.354,-5.128,-4.411,-5.318,-3.345,-4.309
Acrylic_acid,-3.601,-3.702,-3.936,-4.126,-2.713,-3.096
Adipic_acid,-4.68,-5.403,-4.73,-5.649,-3.496,-4.593
Ammonia,-1.5,-1.577,-1.564,-1.775,-1.782,-1.03
Arginine,-4.794,-5.604,-5.349,-6.517,-3.909,-4.649
Arginylglycylaspartic_acid,-6.385,-7.414,-6.095,-7.853,-4.406,-5.118
Asparagine,-4.392,-4.631,-4.843,-5.745,-3.19,-3.959
Aspartic_acid,-4.451,-4.687,-4.945,-5.273,-2.969,-4.081
Biotin,-6.318,-6.74,-5.654,-7.532,-4.323,-5.184
Bis(2-aminoethyl)_ether,-3.625,-3.893,-3.839,-4.313,-3.301,-3.124
Chitobiose,-6.135,-5.636,-5.679,-5.084,-3.983,-4.521
Chitotriose,-6.29,-6.578,-5.46,-5.446,-3.873,-4.901
Chondroitin_sulfate_disaccharide,-6.464,-6.661,-5.791,-5.778,-4.17,-4.894
Curcumin,-7.624,-7.692,-7.458,-9.537,-4.858,-6.572
D-Galactose,-5.596,-5.207,-5.275,-5.677,-3.39,-4.5
D-Lactic_acid,-3.755,-3.908,-4.616,-4.899,-2.762,-3.187
D-Mannose,-5.59,-5.22,-5.286,-5.67,-3.384,-4.502
Dexamethasone,-7.965,-7.97,-6.406,-7.441,-5.303,-6.139
Diethylenetriamine,-3.65,-3.946,-4.272,-4.554,-2.997,-2.959
Diglycolic_acid,-3.841,-4.408,-4.317,-4.624,-2.857,-3.577
Doxorubicin,-8.363,-9.209,-7.687,-7.741,-5.472,-7.271
Ethyl_acrylate,-4.317,-4.273,-3.754,-4.46,-2.573,-3.537
Ethylenediamine,-2.873,-3.045,-3.607,-3.92,-2.662,-2.414
Folic_acid,-7.881,-9.781,-8.007,-9.669,-5.692,-6.836
Gemcitabine,-7.159,-7.002,-6.827,-7.736,-4.133,-6.016
Glucosamine,-5.7,-5.165,-5.666,-6.009,-3.314,-4.472
Glucosamine-6-sulfate,-6.207,-5.952,-5.808,-6.621,-3.635,-4.54
Glucuronic_acid,-6.081,-5.761,-6.001,-6.049,-3.582,-4.968
Glutaric_acid,-4.595,-5.012,-4.548,-5.214,-3.322,-4.049
Glycolic_acid,-3.28,-3.392,-4.193,-4.457,-2.751,-2.708
Glycolide,-3.674,-4.27,-4.24,-4.425,-2.706,-3.854
Ibuprofen,-6.34,-7.041,-5.889,-8.798,-4.48,-6.156
L-Lactic_acid,-3.782,-3.911,-4.621,-4.892,-2.895,-3.184
L-Lactide,-4.625,-5.254,-4.847,-5.785,-3.139,-4.929
Lactic_acid_dimer,-4.879,-5.03,-5.102,-5.645,-3.33,-4.518
Lactic_acid_trimer,-6.003,-5.893,-5.488,-6.459,-4.117,-4.907
Methotrexate,-8.128,-9.911,-8.313,-9.91,-5.7,-7.048
Methyl_3-aminopropionate,-3.711,-3.607,-3.871,-4.443,-2.563,-3.378
Methyl_acrylate,-3.886,-3.744,-3.431,-3.854,-2.369,-3.288
Methyl_methacrylate,-4.529,-4.248,-3.871,-4.464,-2.52,-3.984
Methylamine,-1.828,-2.176,-2.12,-2.472,-2.158,-1.568
N-Acetylglucosamine,-5.372,-6.225,-5.616,-6.215,-3.514,-4.174
N-Acetylneuraminic_acid,-6.98,-6.313,-6.045,-5.891,-4.064,-5.285
Paclitaxel,-10.267,-9.861,-8.158,-9.631,-4.846,-6.898
Pentaethylenehexamine,-4.735,-5.074,-5.005,-5.803,-3.582,-3.589
Sirolimus,-7.353,-0.154,-7.721,-6.603,-5.523,-7.003
Succinic_acid,-4.265,-4.53,-4.659,-5.019,-3.14,-3.991
Tetraethylenepentamine,-4.551,-4.847,-4.867,-5.784,-3.708,-3.169
Triethylene_glycol,-3.918,-4.507,-3.896,-4.746,-3.115,-3.613
Triethylenetetramine,-4.126,-4.457,-4.797,-5.182,-3.441,-3.591
Tris(2-aminoethyl)amine,-4.134,-4.676,-4.308,-4.224,-4.153,-3.485
epsilon-Caprolactone,-4.188,-5.055,-4.177,-5.397,-2.844,-4.309
