proteina,modelo,R2_mean,R2_std,MAE_mean,RMSE_mean
dG_P-gp_MDR1,Random Forest,0.817,0.1679,0.426,0.5755
dG_P-gp_MDR1,GradientBoosting,0.7456,0.3278,0.4036,0.5773
dG_P-gp_MDR1,SVR,0.7795,0.1295,0.4447,0.7143
dG_P-gp_MDR1,MLP,0.3449,0.2421,0.9367,1.2543
dG_CYP3A4,Random Forest,0.6051,0.4417,0.5664,0.9865
dG_CYP3A4,GradientBoosting,0.6114,0.4826,0.4871,0.9453
dG_CYP3A4,SVR,0.6118,0.3794,0.4934,0.9824
dG_CYP3A4,MLP,0.0553,0.7049,1.2223,1.6772
dG_TfR1,Random Forest,0.7528,0.2947,0.3736,0.5032
dG_TfR1,GradientBoosting,0.7418,0.3155,0.3671,0.4973
dG_TfR1,SVR,0.6588,0.2251,0.4242,0.7299
dG_TfR1,MLP,0.3197,0.2266,0.8019,1.0207
dG_FRalpha,Random Forest,0.513,0.5508,0.5831,0.8273
dG_FRalpha,GradientBoosting,0.5152,0.6295,0.5123,0.771
dG_FRalpha,SVR,0.5345,0.2433,0.6023,0.9923
dG_FRalpha,MLP,-0.5379,0.978,1.3664,1.9134
dG_Lisozima,Random Forest,0.7116,0.3004,0.2902,0.3709
dG_Lisozima,GradientBoosting,0.6662,0.3762,0.2895,0.3718
dG_Lisozima,SVR,0.6893,0.2159,0.2856,0.4522
dG_Lisozima,MLP,0.0232,0.5362,0.5368,0.7496
dG_HSA,Random Forest,0.5725,0.6177,0.4121,0.5271
dG_HSA,GradientBoosting,0.5864,0.6854,0.3467,0.4496
dG_HSA,SVR,0.6485,0.2376,0.4175,0.6788
dG_HSA,MLP,0.4272,0.1901,0.7296,0.9231
